,userId,itemId,Xmin,Ymin,Xmax,Ymax,Xmin_true,Ymin_true,Xmax_true,Ymax_true,acc,se_Xmin,se_Ymin,se_Xmax,se_Ymax,Y_xmin,Y_ymin,Y_xmax,Y_ymax
47,1405,11109,75,656,919,1043,141,561,732,1162,0.8833458364591148,4356,9025,34969,14161,1,1,1,0
48,1743,11109,58,593,481,1082,141,561,732,1162,0.8557213930348259,6889,1024,63001,6400,0,1,0,1
49,1003,13110,43,469,515,835,13,353,873,993,0.7330932270916335,900,13456,128164,24964,1,1,0,0
50,1282,13110,46,435,652,922,13,353,873,993,0.9016812749003984,1089,6724,48841,5041,1,1,1,1
51,1182,13110,70,516,493,878,13,353,873,993,0.7012860557768924,3249,26569,144400,13225,0,0,0,1
52,1602,813,283,1042,624,1432,41,1006,782,1701,0.8879983639930256,58564,1296,24964,72361,0,0,0,0
53,886,813,271,1010,679,1421,41,1006,782,1701,0.8988718249814559,52900,16,10609,78400,0,1,1,0
54,1168,813,182,1028,740,1457,41,1006,782,1701,0.941809882593698,19881,484,1764,59536,1,1,1,1
55,506,35799,52,833,857,1281,221,840,875,1389,0.940774412702326,28561,49,324,11664,1,1,1,0
56,886,35799,44,787,866,1286,221,840,875,1389,0.9346035610773898,31329,2809,81,10609,0,0,1,0
57,615,35799,47,859,842,1296,221,840,875,1389,0.9410997318305436,30276,361,1089,8649,0,1,0,1
58,501,25988,45,855,126,907,44,859,134,903,0.9998465874404142,1,16,64,16,1,1,1,1
59,119,25988,47,863,115,898,44,859,134,903,0.9993499735877346,9,16,361,25,1,1,0,1
60,1218,25988,63,855,125,913,44,859,134,903,0.9991174823891872,361,16,81,100,1,1,1,0
61,1046,25988,85,869,104,891,44,859,134,903,0.9955320568986624,1681,100,900,144,0,0,0,0
62,507,25988,63,858,124,910,44,859,134,903,0.9991918163098112,361,1,100,49,1,1,1,1
63,1470,25988,65,863,118,910,44,859,134,903,0.9987948415422232,441,16,256,49,1,1,1,1
64,1329,20671,44,724,135,795,54,727,151,807,0.9988675418928848,100,9,256,144,1,1,1,1
65,120,20671,46,733,129,792,54,727,151,807,0.9982000813189466,64,36,484,225,1,0,0,0
66,1182,20671,47,732,118,791,54,727,151,807,0.9968429114852722,49,25,1089,256,1,0,0,0
67,70,20671,39,724,146,795,54,727,151,807,0.9991033779623428,225,9,25,144,0,1,1,1
68,850,20671,45,727,146,796,54,727,151,807,0.9994949548323868,81,0,25,121,1,1,1,1
69,600,20754,34,291,325,453,55,281,259,421,0.9132377937987224,441,100,4356,1024,1,1,1,0
70,1689,20754,40,352,107,417,55,281,259,421,0.5840513451732021,225,5041,23104,16,1,0,0,1
71,57,20754,37,312,320,453,55,281,259,421,0.9116405837875856,324,961,3721,1024,1,1,1,0
72,1156,20754,36,361,109,415,55,281,259,421,0.5707021862727859,361,6400,22500,36,1,0,0,1
73,919,20754,18,305,214,426,55,281,259,421,0.9414600550964188,1369,576,2025,25,0,1,1,1
74,1158,20754,15,283,327,444,55,281,259,421,0.9009876326123908,1600,4,4624,529,0,1,1,0
75,91,22331,107,807,336,930,99,809,233,943,0.9792244510167492,64,4,10609,169,1,1,0,1
76,422,22331,100,799,247,928,99,809,233,943,0.9990001072681858,1,100,196,225,1,1,1,1
77,1241,22331,100,812,218,934,99,809,233,943,0.999394700951622,1,9,225,81,1,1,1,1
78,298,22331,118,802,204,901,99,809,233,943,0.9942247574972801,361,49,841,1764,0,1,1,0
79,488,22331,71,787,333,937,99,809,233,943,0.9783471504972646,784,484,10000,36,0,0,0,1
80,1562,22331,95,806,325,938,99,809,233,943,0.9836914047535129,16,9,8464,25,1,1,0,1
81,137,5611,49,801,693,1238,41,833,660,1141,0.9820133595748473,64,1024,1089,9409,1,1,1,1
82,1073,5611,81,817,687,1258,41,833,660,1141,0.9747354922942396,1600,256,729,13689,1,1,1,0
83,1065,5611,197,943,386,1115,41,833,660,1141,0.8258341777993223,24336,12100,75076,676,0,0,0,1
84,528,5611,64,807,169,1002,41,833,660,1141,0.5938692351369781,529,676,241081,19321,1,1,0,0
85,1508,5611,126,808,307,1202,41,833,660,1141,0.7885878911533472,7225,625,124609,3721,1,1,0,1
86,149,5611,115,868,691,1253,41,833,660,1141,0.968631274259396,5476,1225,961,12544,1,1,1,0
87,809,5611,97,843,666,1250,41,833,660,1141,0.9764757843636852,3136,100,36,11881,1,1,1,0
88,819,5611,86,811,690,1254,41,833,660,1141,0.9748845271190986,2025,484,900,12769,1,1,1,0
89,967,5611,143,818,655,1253,41,833,660,1141,0.963986355551295,10404,225,25,12544,1,1,1,0
90,969,5611,422,990,547,1146,41,833,660,1141,0.7165171337653532,145161,24649,12769,25,0,0,1,1
91,218,11687,68,697,486,1045,108,687,457,1009,0.9911289954344498,1600,100,841,1296,0,1,1,1
92,1411,11687,106,716,437,1048,108,687,457,1009,0.9936051085149044,4,841,400,1521,1,0,1,0
93,1469,11687,120,717,394,1049,108,687,457,1009,0.9847109843127486,144,900,3969,1600,1,0,0,0
94,1092,4220,128,542,447,756,156,529,361,703,0.9319454673259868,784,169,7396,2809,0,1,0,1
95,1255,4220,165,546,435,801,156,529,361,703,0.9057678320654684,81,289,5476,9604,1,1,0,0
96,152,4220,129,565,443,742,156,529,361,703,0.9373615297936804,729,1296,6724,1521,0,0,0,1
97,1752,4220,192,570,320,768,156,529,361,703,0.9458210778147286,1296,1681,1681,4225,0,0,1,1
98,1467,4220,162,585,435,781,156,529,361,703,0.9101470357274098,36,3136,5476,6084,1,0,0,0
99,441,4220,178,554,439,762,156,529,361,703,0.9348974653376576,484,625,6084,3481,1,1,0,1
100,1400,229,107,363,566,755,16,407,332,787,0.7807823767592184,8281,1936,54756,1024,0,0,0,1
101,831,229,40,395,596,893,16,407,332,787,0.7287822571805339,576,144,69696,11236,1,1,0,0
102,1243,229,40,397,518,879,16,407,332,787,0.8547251849317571,576,100,34596,8464,1,1,1,0
103,1287,31168,120,753,205,903,82,767,189,887,0.9956179714078744,1444,196,256,256,1,1,1,1
104,1142,31168,165,757,200,789,82,767,189,887,0.9659659731000052,6889,100,121,9604,0,1,1,0
105,433,31168,120,755,215,907,82,767,189,887,0.9945754069844691,1444,144,676,400,1,1,0,1
106,813,31168,106,754,185,901,82,767,189,887,0.9980513004820332,576,169,16,196,1,1,1,1
107,207,31168,144,748,212,809,82,767,189,887,0.9779717540382826,3844,361,529,6084,0,0,1,0
108,492,31168,111,752,246,840,82,767,189,887,0.9867154486361396,841,225,3249,2209,1,0,0,1
109,909,31168,146,748,172,836,82,767,189,887,0.9850396077758607,4096,361,289,2601,0,0,1,0
110,1508,31168,93,746,198,907,82,767,189,887,0.9978761822390396,121,441,81,400,1,0,1,1
111,535,31168,137,767,203,896,82,767,189,887,0.9932762739724912,3025,0,196,81,0,1,1,1
112,1263,3775,67,576,276,775,112,578,217,700,0.9532348682670128,2025,4,3481,5625,0,1,0,0
113,562,3775,88,578,284,782,112,578,217,700,0.950488177997289,576,0,4489,6724,1,1,0,0
114,1045,3775,94,574,244,755,112,578,217,700,0.9828058869048182,324,16,729,3025,1,0,1,1
115,1302,20558,176,1112,360,1154,95,1060,379,1210,0.9851255620747288,6561,2704,361,3136,0,0,1,0
116,1623,20558,181,1103,340,1184,95,1060,379,1210,0.9866640558892844,7396,1849,1521,676,0,0,0,1
117,919,20558,165,1093,347,1202,95,1060,379,1210,0.9917515752078716,4900,1089,1024,64,1,1,0,1
118,1156,20558,166,1105,333,1169,95,1060,379,1210,0.987338895221578,5041,2025,2116,1681,1,0,0,0
119,1158,20558,159,1087,378,1202,95,1060,379,1210,0.994300579732442,4096,729,1,64,1,1,1,1
120,160,20558,172,1089,378,1185,95,1060,379,1210,0.9913797725360206,5929,841,1,625,0,1,1,1
121,1521,20558,140,1087,379,1187,95,1060,379,1210,0.9961735793991016,2025,729,0,529,1,1,1,1
122,49,20558,157,1064,377,1213,95,1060,379,1210,0.9954859192850201,3844,16,4,9,1,1,1,1
123,981,20558,177,1101,326,1176,95,1060,379,1210,0.9855824481166272,6724,1681,2809,1156,0,0,0,0
124,1133,6933,102,861,922,1668,64,756,1019,1489,0.949239233377706,1444,11025,9409,32041,1,1,1,1
125,754,6933,103,795,464,1169,64,756,1019,1489,0.6107512770448251,1521,1521,308025,102400,1,1,0,0
126,421,6933,236,822,553,1663,64,756,1019,1489,0.7351089889269434,29584,4356,217156,30276,0,1,0,1
127,1433,6933,222,799,553,1663,64,756,1019,1489,0.7418185344251369,24964,1849,217156,30276,0,1,0,1
128,1281,6933,110,780,526,1675,64,756,1019,1489,0.7360833651849243,2116,576,243049,34596,1,1,0,1
129,577,6933,83,759,625,1699,64,756,1019,1489,0.8119915121001526,361,9,155236,44100,1,1,1,1
130,947,6933,115,777,781,1699,64,756,1019,1489,0.9022931262697488,2601,441,56644,44100,1,1,1,1
131,952,6933,308,1186,317,1194,64,756,1019,1489,0.2240152209810039,59536,184900,492804,87025,0,0,0,0
132,242,25324,64,1035,101,1090,50,1033,106,1094,0.9997527288957062,196,4,25,16,1,1,1,1
133,952,25324,82,1040,97,1082,50,1033,106,1094,0.9986682245088244,1024,49,81,144,0,0,0,1
134,12,25324,68,1040,98,1093,50,1033,106,1094,0.9995506027233168,324,49,64,1,1,0,0,1
135,639,25324,78,1039,95,1056,50,1033,106,1094,0.9975529394865532,784,36,121,1444,0,0,0,0
136,189,25324,60,1035,114,1094,50,1033,106,1094,0.9998276284418202,100,4,64,0,1,1,0,1
137,1554,25324,66,1035,111,1093,50,1033,106,1094,0.9997065579426224,256,4,25,1,1,1,1,1
138,941,25324,81,1036,109,1094,50,1033,106,1094,0.9989955252651302,961,9,9,0,0,1,1,1
139,291,25324,80,1033,109,1077,50,1033,106,1094,0.9987708266267886,900,0,9,289,0,1,1,0
140,957,25324,66,1035,112,1094,50,1033,106,1094,0.999696297730826,256,4,36,0,1,1,1,1
141,530,24752,199,1094,577,1555,34,1054,712,1709,0.9515774567558724,27225,1600,18225,23716,0,1,1,1
142,87,24752,169,1188,610,1546,34,1054,712,1709,0.9499434371240296,18225,17956,10404,26569,1,0,1,1
143,134,24752,200,1116,562,1551,34,1054,712,1709,0.9460362963795482,27556,3844,22500,24964,0,1,1,1
144,258,24752,202,1136,580,1538,34,1054,712,1709,0.9441552578670124,28224,6724,17424,29241,0,1,1,1
145,963,24752,192,1207,565,1487,34,1054,712,1709,0.9183907096267396,24964,23409,21609,49284,1,0,1,0
146,1732,24752,282,1148,487,1446,34,1054,712,1709,0.8698983715742168,61504,8836,50625,69169,0,1,0,0
147,592,24752,62,1077,672,1551,34,1054,712,1709,0.9809248051604366,784,529,1600,24964,1,1,1,1
148,805,24752,185,1224,388,1419,34,1054,712,1709,0.8352452492059558,22801,28900,104976,84100,1,0,0,0
149,931,4927,586,1264,588,1266,92,861,601,1278,0.4497425643994838,244036,162409,169,144,0,0,1,1
150,221,4927,45,862,608,1254,92,861,601,1278,0.9961648453627772,2209,1,49,576,1,1,1,1
151,1635,4927,140,863,594,1205,92,861,601,1278,0.9896024696501959,2304,4,49,5329,1,1,1,0
152,505,4927,117,961,556,1230,92,861,601,1278,0.9797704047812948,625,10000,2025,2304,1,1,1,1
153,401,4927,52,871,594,1240,92,861,601,1278,0.9956805471757841,1600,100,49,1444,1,1,1,1
154,1601,4927,184,866,472,1158,92,861,601,1278,0.946524281195973,8464,25,16641,14400,1,1,0,0
155,1116,4927,73,859,608,1267,92,861,601,1278,0.999276258295974,361,4,49,121,1,1,1,1
156,525,23173,277,503,577,804,132,519,657,713,0.8251664193317461,21025,256,6400,8281,0,1,0,1
157,636,23173,204,528,633,839,132,519,657,713,0.8944201971143855,5184,81,576,15876,1,1,1,0
158,1182,23173,294,590,575,837,132,519,657,713,0.7404624129921935,26244,5041,6724,15376,0,0,0,0
159,1728,18756,82,739,679,1143,91,718,670,1243,0.9840660141592016,81,441,81,10000,1,1,1,1
160,699,18756,116,781,598,1106,91,718,670,1243,0.9571001137605138,625,3969,5184,18769,0,0,0,0
161,297,18756,64,726,703,1165,91,718,670,1243,0.9880288473820804,729,64,1089,6084,0,1,1,1
162,886,28677,53,508,329,655,57,509,397,675,0.9753861027426356,16,1,4624,400,1,1,0,1
163,61,28677,76,507,345,652,57,509,397,675,0.9824318979702444,361,4,2704,529,0,0,0,1
164,1225,28677,50,508,380,637,57,509,397,675,0.99129407284073,49,1,289,1444,1,1,1,0
165,955,27107,34,529,574,878,215,496,565,939,0.8587859802367132,32761,1089,81,3721,0,1,1,1
166,744,27107,63,584,295,872,215,496,565,939,0.5940565744948773,23104,7744,72900,4489,1,1,0,1
167,79,27107,89,561,542,864,215,496,565,939,0.90153048738752,15876,4225,529,5625,1,1,1,1
168,340,27107,53,657,516,850,215,496,565,939,0.7656421849317829,26244,25921,2401,7921,0,0,1,0
169,409,27107,75,615,495,870,215,496,565,939,0.8371455655433591,19600,14161,4900,4761,1,0,1,1
170,421,27107,56,641,311,868,215,496,565,939,0.5654552222502468,25281,21025,64516,5041,0,0,0,1
171,337,27107,58,620,566,850,215,496,565,939,0.8201745297569767,24649,15376,1,7921,0,0,1,0
172,1187,27107,64,650,569,879,215,496,565,939,0.8119759255074668,22801,23716,16,3600,1,0,1,1
173,577,27107,62,594,549,864,215,496,565,939,0.8541278528451801,23409,9604,256,5625,0,1,1,1
174,1719,27107,93,594,538,849,215,496,565,939,0.8750444200453249,14884,9604,729,8100,1,1,1,0
175,638,27107,49,645,562,864,215,496,565,939,0.7922557694489476,27556,22201,9,5625,0,0,1,1
176,330,21822,170,369,823,1134,62,305,867,943,0.9020262679263384,11664,4096,1936,36481,1,1,1,0
177,1182,21822,198,612,754,1097,62,305,867,943,0.7301323432941558,18496,94249,12769,23716,1,0,0,1
178,853,21822,251,395,807,1090,62,305,867,943,0.8751660903142503,35721,8100,3600,21609,0,1,1,1
179,569,18346,667,789,670,791,21,608,751,1336,0.138511358674406,417316,32761,6561,297025,0,1,1,0
180,416,18346,27,732,711,1136,21,608,751,1336,0.93483136306379,36,15376,1600,40000,1,1,1,1
181,890,18346,24,732,687,1150,21,608,751,1336,0.9381862699151156,9,15376,4096,34596,1,1,1,1
182,1659,18346,261,929,671,1152,21,608,751,1336,0.7703609125346635,57600,103041,6400,33856,1,0,1,1
183,956,18346,198,783,216,787,21,608,751,1336,0.257485385865726,31329,30625,286225,301401,1,1,0,0
184,1720,18346,38,731,673,1155,21,608,751,1336,0.9379736591231748,289,15129,6084,32761,1,1,1,1
185,957,23371,32,471,120,532,25,469,115,533,0.9995882392798878,49,4,25,1,0,1,0,1
186,752,23371,30,472,119,530,25,469,115,533,0.9996924825001694,25,9,16,9,1,0,1,0
187,636,23371,29,471,119,531,25,469,115,533,0.9997915135594369,16,4,16,4,1,1,1,1
188,283,10521,73,847,315,992,44,823,325,1004,0.9971718127981856,841,576,100,144,1,1,1,0
189,1599,10521,100,868,315,994,44,823,325,1004,0.9908718172252096,3136,2025,100,100,0,0,1,0
190,886,10521,55,835,318,995,44,823,325,1004,0.9993274329050472,121,144,49,81,1,1,1,1
191,392,10521,66,850,314,999,44,823,325,1004,0.997686028653061,484,729,121,25,1,1,0,1
192,1696,10521,67,837,310,994,44,823,325,1004,0.9982121634184796,529,196,225,100,1,1,0,0
193,279,35719,182,617,628,767,28,573,707,1022,0.8122548288426856,23716,1936,6241,65025,0,1,1,0
194,1046,35719,152,787,540,886,28,573,707,1022,0.7916454386783955,15376,45796,27889,18496,1,0,0,1
195,1704,35719,75,623,635,919,28,573,707,1022,0.9602844518142424,2209,2500,5184,10609,1,1,1,1
196,1408,35719,198,646,536,915,28,573,707,1022,0.8548702977988109,28900,5329,29241,11449,0,1,0,1
197,615,35719,164,600,576,943,28,573,707,1022,0.9174249013503908,18496,729,17161,6241,1,1,1,1
198,506,35719,244,640,550,753,28,573,707,1022,0.7130008271651096,46656,4489,24649,72361,0,1,0,0
199,886,35719,245,619,554,761,28,573,707,1022,0.7273745159534386,47089,2116,23409,68121,0,1,0,0
200,1602,35719,116,578,642,931,28,573,707,1022,0.9607241859591144,7744,25,4225,8281,1,1,1,1
201,119,35719,165,732,572,907,28,573,707,1022,0.8537448108465173,18769,25281,18225,13225,1,0,0,1
202,1654,32159,142,610,539,1037,101,624,597,1069,0.986656777276268,1681,196,3364,1024,0,1,1,1
203,1281,32159,102,555,858,1304,101,624,597,1069,0.7271550555958739,1,4761,68121,55225,1,1,0,0
204,957,32159,117,553,773,1273,101,624,597,1069,0.8341116879922177,256,5041,30976,41616,1,1,0,0
205,947,32159,108,475,856,1304,101,624,597,1069,0.6921240376613261,49,22201,67081,55225,1,0,0,0
206,525,32159,161,561,701,1127,101,624,597,1069,0.9536788904998492,3600,3969,10816,3364,0,1,1,1
207,191,32159,129,653,627,1185,101,624,597,1069,0.9659636005829274,784,841,900,13456,1,1,1,1
208,934,33084,61,639,319,939,67,647,428,944,0.9706862579931588,36,64,11881,25,1,1,0,1
209,1530,33084,80,680,292,903,67,647,428,944,0.9476644960922336,169,1089,18496,1681,1,1,0,1
210,1270,33084,153,781,272,853,67,647,428,944,0.8584634090959032,7396,17956,24336,8281,0,0,0,0
211,272,33084,63,687,338,939,67,647,428,944,0.9762164616950991,16,1600,8100,25,1,1,1,1
212,7,33084,53,642,346,940,67,647,428,944,0.9830040847818072,196,25,6724,16,1,1,1,1
213,58,33084,90,683,298,851,67,647,428,944,0.9331638869152694,529,1296,16900,8649,1,1,0,0
214,318,33084,75,673,309,897,67,647,428,944,0.9582243773332454,64,676,14161,2209,1,1,0,1
215,884,33084,46,639,381,936,67,647,428,944,0.9932172600953686,441,64,2209,64,1,1,1,1
216,285,33084,62,662,382,877,67,647,428,944,0.983262893431876,25,225,2116,4489,1,1,1,0
217,1500,23728,70,657,279,797,61,598,220,850,0.9744013968543496,81,3481,3481,2809,1,0,1,0
218,971,23728,36,595,322,811,61,598,220,850,0.9673677571146748,625,9,10404,1521,0,1,0,1
219,140,23728,51,630,283,802,61,598,220,850,0.9807802611177044,100,1024,3969,2304,1,1,1,0
220,355,19125,72,420,142,541,19,418,219,568,0.9446548157497984,2809,4,5929,729,1,1,0,1
221,817,19125,59,442,162,530,19,418,219,568,0.9598599862089922,1600,576,3249,1444,1,0,1,0
222,1663,19125,71,421,192,544,19,418,219,568,0.9765202248635508,2704,9,729,576,1,1,1,1
223,763,19125,76,430,181,540,19,418,219,568,0.9671528581279292,3249,144,1444,784,1,1,1,1
224,1503,19125,87,440,156,528,19,418,219,568,0.9376073770204412,4624,484,3969,1600,0,0,0,0
225,429,19125,93,427,154,526,19,418,219,568,0.9325292474550916,5476,81,4225,1764,0,1,0,0
226,1508,142,265,295,623,711,107,197,1005,782,0.6794172825554969,24964,9604,145924,5041,0,1,0,1
227,1134,142,277,344,615,707,107,197,1005,782,0.6401921944649273,28900,21609,152100,5625,0,0,0,1
228,436,142,227,319,669,702,107,197,1005,782,0.7432684204001214,14400,14884,112896,6400,1,1,1,0
229,1389,12677,63,812,417,1164,37,808,578,1207,0.9602453274781022,676,16,25921,1849,1,1,0,1
230,909,12677,157,828,473,1158,37,808,578,1207,0.9605749635794012,14400,400,11025,2401,0,1,1,0
231,963,12677,151,871,400,1166,37,808,578,1207,0.9297009111085971,12996,3969,31684,1681,0,0,0,1
232,306,6497,78,1208,417,1627,89,1255,384,1532,0.9912398646698476,121,2209,1089,9025,0,1,1,0
233,1389,6497,78,1199,460,1626,89,1255,384,1532,0.9874208567812204,121,3136,5776,8836,0,0,0,0
234,195,6497,89,1202,375,1616,89,1255,384,1532,0.9929983682100856,0,2809,81,7056,1,0,1,1
235,1540,5067,107,600,715,1422,17,537,725,1445,0.9878750725700493,8100,3969,100,529,1,1,1,1
236,478,5067,128,684,628,1337,17,537,725,1445,0.9474793366333608,12321,21609,9409,11664,1,0,1,0
237,577,5067,158,691,550,1351,17,537,725,1445,0.9206904849207076,19881,23716,30625,8836,0,0,0,0
238,521,1811,30,500,73,535,43,502,62,530,0.9985190670122176,169,4,121,25,0,1,0,1
239,190,1811,31,499,65,524,43,502,62,530,0.99908080021448,144,9,9,36,0,1,1,1
240,1650,1811,43,509,57,528,43,502,62,530,0.999637890993583,0,49,25,4,1,0,1,1
241,518,1811,32,500,71,532,43,502,62,530,0.9990250911365696,121,4,81,4,0,1,0,1
242,338,1811,32,510,68,522,43,502,62,530,0.9986769093996304,121,64,36,64,0,0,1,0
243,952,1811,33,501,63,525,43,502,62,530,0.9994104122587826,100,1,1,25,1,1,1,1
244,748,1811,35,501,58,516,43,502,62,530,0.9987140487849038,64,1,16,196,1,1,1,0
245,744,1811,29,497,72,535,43,502,62,530,0.9983937215869196,196,25,100,25,0,0,0,1
246,1274,1811,31,498,66,535,43,502,62,530,0.9990668729450024,144,16,16,25,0,1,1,1
247,831,13695,46,883,325,1006,51,872,282,1132,0.9764402901228444,25,121,1849,15876,1,1,0,0
248,552,13695,59,887,322,1003,51,872,282,1132,0.9755715167576692,64,225,1600,16641,1,0,0,0
249,1308,13695,38,890,321,1010,51,872,282,1132,0.9777230161991955,169,324,1521,14884,0,0,0,1
250,161,13695,57,885,322,1008,51,872,282,1132,0.9773499314308428,36,169,1600,15376,1,1,0,1
251,315,13695,58,882,292,1008,51,872,282,1132,0.9794012384964156,49,100,100,15376,1,1,1,1
252,1739,13855,57,1121,62,1126,56,1121,62,1127,0.9999982367374,1,0,0,1,0,1,1,0
253,315,13855,57,1122,62,1126,56,1121,62,1127,0.9999973551061,1,1,0,1,0,0,1,0
254,552,13855,56,1121,64,1127,56,1121,62,1127,0.9999964734748,0,0,4,0,1,1,0,1
255,523,35648,236,948,886,1321,230,962,902,1308,0.9989219098440952,36,196,256,169,1,1,1,1
256,1435,35648,179,962,901,1327,230,962,902,1308,0.9951379282618792,2601,0,1,361,1,1,1,1
257,1425,35648,245,911,891,1334,230,962,902,1308,0.9940549153198744,225,2601,121,676,1,1,1,1
258,952,35648,227,876,329,964,230,962,902,1308,0.25490350518779603,9,7396,328329,118336,1,1,0,0
259,191,35648,276,1000,521,1180,230,962,902,1308,0.7290744669853351,2116,1444,145161,16384,1,1,0,0
260,891,35648,32,734,902,1332,230,962,902,1308,0.8494218187725525,39204,51984,0,576,0,0,1,1
261,1420,35648,299,915,883,1309,230,962,902,1308,0.9879687107715482,4761,2209,361,1,1,1,1,1
262,895,35648,278,921,901,1330,230,962,902,1308,0.9926650487109684,2304,1681,1,484,1,1,1,1
263,631,35648,277,906,890,1341,230,962,902,1308,0.9892059710113535,2209,3136,144,1089,1,1,1,1
264,1147,18159,140,870,272,1066,108,862,242,1016,0.9925760753773166,1024,64,900,2500,0,1,1,0
265,246,18159,124,874,294,1064,108,862,242,1016,0.9910542369965528,256,144,2704,2304,1,0,0,0
