,userId,itemId,Xmin,Ymin,Xmax,Ymax,L,H,P,S,L/H,D
25,356,3135,101,156,564,592,463,436,1798,201868,1.061926605504587,635.9756284638587
26,903,3135,105,173,476,478,371,305,1352,113155,1.2163934426229508,480.2770034053265
27,1496,30215,63,368,235,548,172,180,704,30960,0.9555555555555556,248.96586111352696
28,1508,30215,38,326,220,554,182,228,820,41496,0.7982456140350878,291.73275441746335
29,590,30215,61,357,197,479,136,122,516,16592,1.1147540983606556,182.70194306574848
30,491,30215,50,330,239,554,189,224,826,42336,0.84375,293.0818998164165
31,483,30215,52,327,218,556,166,229,790,38014,0.7248908296943232,282.83740912404073
32,1453,30215,49,361,228,545,179,184,726,32936,0.9728260869565216,256.7041098229633
33,147,30215,47,320,239,548,192,228,840,43776,0.8421052631578947,298.0738163609813
34,145,30215,61,345,179,509,118,164,564,19352,0.7195121951219512,202.03960007879644
35,904,30215,36,339,227,539,191,200,782,38200,0.955,276.55198426335687
36,1041,33357,56,899,220,1060,164,161,650,26404,1.0186335403726707,229.8194943863553
37,1411,33357,53,904,258,1069,205,165,740,33825,1.2424242424242424,263.1539473388153
38,937,33357,48,911,212,1064,164,153,634,25092,1.0718954248366013,224.28776159211185
39,660,10766,6,255,404,725,398,470,1736,187060,0.8468085106382979,615.8766110187981
40,917,10766,94,214,448,689,354,475,1658,168150,0.7452631578947368,592.4027346324458
41,1743,10766,60,172,479,635,419,463,1764,193997,0.9049676025917928,624.4437524709491
42,831,11109,47,609,920,1102,873,493,2732,430389,1.77079107505071,1002.5856571884519
43,820,11109,99,718,924,1031,825,313,2276,258225,2.635782747603834,882.3797368480308
44,1212,11109,31,603,546,1084,515,481,1992,247715,1.0706860706860706,704.6885837020492
45,917,11109,79,687,935,1048,856,361,2434,309016,2.3711911357340716,929.0086113702068
46,1576,11109,76,667,924,1124,848,457,2610,387536,1.8555798687089715,963.303171384793
47,1405,11109,75,656,919,1043,844,387,2462,326628,2.1808785529715764,928.4960958453191
48,1743,11109,58,593,481,1082,423,489,1824,206847,0.8650306748466258,646.5678618675691
49,1003,13110,43,469,515,835,472,366,1676,172752,1.289617486338798,597.2771550963589
50,1282,13110,46,435,652,922,606,487,2186,295122,1.2443531827515402,777.4348847331203
51,1182,13110,70,516,493,878,423,362,1570,153126,1.1685082872928176,556.7521890392529
52,1602,813,283,1042,624,1432,341,390,1462,132990,0.8743589743589744,518.0550163833954
53,886,813,271,1010,679,1421,408,411,1638,167688,0.9927007299270072,579.1243389808444
54,1168,813,182,1028,740,1457,558,429,1974,239382,1.3006993006993006,703.8501260921959
55,506,35799,52,833,857,1281,805,448,2506,360640,1.796875,921.264891331478
56,886,35799,44,787,866,1286,822,499,2642,410178,1.6472945891783568,961.6054284372567
57,615,35799,47,859,842,1296,795,437,2464,347415,1.8192219679633868,907.1901674952171
58,501,25988,45,855,126,907,81,52,266,4212,1.5576923076923077,96.25487000666512
59,119,25988,47,863,115,898,68,35,206,2380,1.9428571428571428,76.47875521999558
60,1218,25988,63,855,125,913,62,58,240,3596,1.0689655172413792,84.8999411071645
61,1046,25988,85,869,104,891,19,22,82,418,0.8636363636363636,29.068883707497267
62,507,25988,63,858,124,910,61,52,226,3172,1.1730769230769231,80.15609770940699
63,1470,25988,65,863,118,910,53,47,200,2491,1.127659574468085,70.83784299369935
64,1329,20671,44,724,135,795,91,71,324,6461,1.2816901408450705,115.42096863222038
65,120,20671,46,733,129,792,83,59,284,4897,1.4067796610169492,101.83319694480774
66,1182,20671,47,732,118,791,71,59,260,4189,1.2033898305084745,92.31467922275417
67,70,20671,39,724,146,795,107,71,356,7597,1.5070422535211268,128.41339493993607
68,850,20671,45,727,146,796,101,69,340,6969,1.463768115942029,122.31925441237777
69,600,20754,34,291,325,453,291,162,906,47142,1.7962962962962965,333.0540496676178
70,1689,20754,40,352,107,417,67,65,264,4355,1.0307692307692309,93.34880824091971
71,57,20754,37,312,320,453,283,141,848,39903,2.0070921985815597,316.1803282938393
72,1156,20754,36,361,109,415,73,54,254,3942,1.351851851851852,90.80198235721508
73,919,20754,18,305,214,426,196,121,634,23716,1.6198347107438016,230.3410514867031
74,1158,20754,15,283,327,444,312,161,946,50232,1.937888198757764,351.0911562543266
75,91,22331,107,807,336,930,229,123,704,28167,1.8617886178861789,259.9423012901132
76,422,22331,100,799,247,928,147,129,552,18963,1.1395348837209305,195.57607215607945
77,1241,22331,100,812,218,934,118,122,480,14396,0.9672131147540984,169.72919607421701
78,298,22331,118,802,204,901,86,99,370,8514,0.8686868686868687,131.13733259449805
79,488,22331,71,787,333,937,262,150,824,39300,1.7466666666666666,301.90064590855053
80,1562,22331,95,806,325,938,230,132,724,30360,1.7424242424242424,265.18672666632466
81,137,5611,49,801,693,1238,644,437,2162,281428,1.4736842105263157,778.270518521677
82,1073,5611,81,817,687,1258,606,441,2094,267246,1.3741496598639455,749.4778182174573
83,1065,5611,197,943,386,1115,189,172,722,32508,1.0988372093023255,255.54842985234717
84,528,5611,64,807,169,1002,105,195,600,20475,0.5384615384615384,221.472345903501
85,1508,5611,126,808,307,1202,181,394,1150,71314,0.4593908629441624,433.5862082677446
86,149,5611,115,868,691,1253,576,385,1922,221760,1.4961038961038962,692.8210447150116
87,809,5611,97,843,666,1250,569,407,1952,231583,1.3980343980343979,699.5784444935392
88,819,5611,86,811,690,1254,604,443,2094,267572,1.363431151241535,749.042722413081
89,967,5611,143,818,655,1253,512,435,1894,222720,1.1770114942528735,671.8400107168372
90,969,5611,422,990,547,1146,125,156,562,19500,0.8012820512820513,199.90247622278218
91,218,11687,68,697,486,1045,418,348,1532,145464,1.2011494252873562,543.9007262359556
92,1411,11687,106,716,437,1048,331,332,1326,109892,0.9969879518072288,468.81232918941026
93,1469,11687,120,717,394,1049,274,332,1212,90968,0.8253012048192772,430.4648650006177
94,1092,4220,128,542,447,756,319,214,1066,68266,1.4906542056074767,384.1314879048579
95,1255,4220,165,546,435,801,270,255,1050,68850,1.0588235294117647,371.3825520941984
96,152,4220,129,565,443,742,314,177,982,55578,1.7740112994350283,360.4511062543712
97,1752,4220,192,570,320,768,128,198,652,25344,0.6464646464646465,235.77107541002565
98,1467,4220,162,585,435,781,273,196,938,53508,1.3928571428571428,336.0729087564185
99,441,4220,178,554,439,762,261,208,938,54288,1.2548076923076923,333.7439138021846
100,1400,229,107,363,566,755,459,392,1702,179928,1.1709183673469388,603.6099734099827
101,831,229,40,395,596,893,556,498,2108,276888,1.1164658634538152,746.4181133922193
102,1243,229,40,397,518,879,478,482,1920,230396,0.991701244813278,678.8284024700204
103,1287,31168,120,753,205,903,85,150,470,12750,0.5666666666666667,172.40939649566667
104,1142,31168,165,757,200,789,35,32,134,1120,1.09375,47.4236228055175
105,433,31168,120,755,215,907,95,152,494,14440,0.625,179.24564150907548
106,813,31168,106,754,185,901,79,147,452,11613,0.5374149659863946,166.88319268278636
107,207,31168,144,748,212,809,68,61,258,4148,1.1147540983606556,91.35097153287424
108,492,31168,111,752,246,840,135,88,446,11880,1.5340909090909092,161.14899937635357
109,909,31168,146,748,172,836,26,88,228,2288,0.2954545454545455,91.76055797563569
110,1508,31168,93,746,198,907,105,161,532,16905,0.6521739130434783,192.21342304844373
111,535,31168,137,767,203,896,66,129,390,8514,0.5116279069767442,144.90341610879986
112,1263,3775,67,576,276,775,209,199,816,41591,1.050251256281407,288.5862089566998
113,562,3775,88,578,284,782,196,204,800,39984,0.9607843137254902,282.8992753613908
114,1045,3775,94,574,244,755,150,181,662,27150,0.8287292817679558,235.07658326596462
115,1302,20558,176,1112,360,1154,184,42,452,7728,4.380952380952381,188.73261509341728
116,1623,20558,181,1103,340,1184,159,81,480,12879,1.9629629629629632,178.4432682955566
117,919,20558,165,1093,347,1202,182,109,582,19838,1.6697247706422018,212.14381914163798
118,1156,20558,166,1105,333,1169,167,64,462,10688,2.609375,178.84350701101786
119,1158,20558,159,1087,378,1202,219,115,668,25185,1.9043478260869569,247.35804009572846
120,160,20558,172,1089,378,1185,206,96,604,19776,2.145833333333333,227.27076362788065
121,1521,20558,140,1087,379,1187,239,100,678,23900,2.39,259.0772085691831
122,49,20558,157,1064,377,1213,220,149,738,32780,1.4765100671140938,265.7084868798887
123,981,20558,177,1101,326,1176,149,75,448,11175,1.9866666666666664,166.8112706024386
124,1133,6933,102,861,922,1668,820,807,3254,661740,1.0161090458488231,1150.499456757803
125,754,6933,103,795,464,1169,361,374,1470,135014,0.96524064171123,519.8047710438988
126,421,6933,236,822,553,1663,317,841,2316,266597,0.3769322235434007,898.7602572432762
127,1433,6933,222,799,553,1663,331,864,2390,285984,0.3831018518518519,925.2334840460542
128,1281,6933,110,780,526,1675,416,895,2622,372320,0.46480446927374297,986.955419459258
129,577,6933,83,759,625,1699,542,940,2964,509480,0.5765957446808511,1085.06405340883
130,947,6933,115,777,781,1699,666,922,3176,614052,0.7223427331887202,1137.3829610118132
131,952,6933,308,1186,317,1194,9,8,34,72,1.125,12.041594578792296
132,242,25324,64,1035,101,1090,37,55,184,2035,0.6727272727272727,66.2872536767062
133,952,25324,82,1040,97,1082,15,42,114,630,0.35714285714285715,44.598206241955516
134,12,25324,68,1040,98,1093,30,53,166,1590,0.5660377358490566,60.90155991434045
135,639,25324,78,1039,95,1056,17,17,68,289,1.0,24.041630560342615
136,189,25324,60,1035,114,1094,54,59,226,3186,0.9152542372881356,79.98124780221924
137,1554,25324,66,1035,111,1093,45,58,206,2610,0.7758620689655172,73.40980860893181
138,941,25324,81,1036,109,1094,28,58,172,1624,0.4827586206896552,64.40496875241847
139,291,25324,80,1033,109,1077,29,44,146,1276,0.6590909090909091,52.69724850502159
140,957,25324,66,1035,112,1094,46,59,210,2714,0.7796610169491526,74.81310045707235
141,530,24752,199,1094,577,1555,378,461,1678,174258,0.8199566160520607,596.158535961702
142,87,24752,169,1188,610,1546,441,358,1598,157878,1.2318435754189945,568.0184856146849
143,134,24752,200,1116,562,1551,362,435,1594,157470,0.8321839080459771,565.9231396576747
144,258,24752,202,1136,580,1538,378,402,1560,151956,0.9402985074626866,551.8043131400841
145,963,24752,192,1207,565,1487,373,280,1306,104440,1.3321428571428569,466.4000428816447
146,1732,24752,282,1148,487,1446,205,298,1006,61090,0.6879194630872483,361.70291677010295
147,592,24752,62,1077,672,1551,610,474,2168,289140,1.2869198312236287,772.5127830657561
148,805,24752,185,1224,388,1419,203,195,796,39585,1.0410256410256409,281.48534597737057
149,931,4927,586,1264,588,1266,2,2,8,4,1.0,2.8284271247461903
150,221,4927,45,862,608,1254,563,392,1910,220696,1.4362244897959184,686.0269673999703
151,1635,4927,140,863,594,1205,454,342,1592,155268,1.3274853801169588,568.4012667121705
152,505,4927,117,961,556,1230,439,269,1416,118091,1.6319702602230484,514.8611463297653
153,401,4927,52,871,594,1240,542,369,1822,199998,1.4688346883468837,655.6866629724902
154,1601,4927,184,866,472,1158,288,292,1160,84096,0.9863013698630136,410.13168616921075
155,1116,4927,73,859,608,1267,535,408,1886,218280,1.3112745098039216,672.821670281212
156,525,23173,277,503,577,804,300,301,1202,90300,0.9966777408637874,424.97176376790026
157,636,23173,204,528,633,839,429,311,1480,133419,1.3794212218649518,529.8697953271162
158,1182,23173,294,590,575,837,281,247,1056,69407,1.137651821862348,374.1256473432422
159,1728,18756,82,739,679,1143,597,404,2002,241188,1.4777227722772277,720.850192481073
160,699,18756,116,781,598,1106,482,325,1614,156650,1.4830769230769232,581.3338111618831
161,297,18756,64,726,703,1165,639,439,2156,280521,1.4555808656036446,775.2689855785538
162,886,28677,53,508,329,655,276,147,846,40572,1.8775510204081636,312.70593214712125
163,61,28677,76,507,345,652,269,145,828,39005,1.8551724137931036,305.5912302406599
164,1225,28677,50,508,380,637,330,129,918,42570,2.5581395348837206,354.31765409022455
165,955,27107,34,529,574,878,540,349,1778,188460,1.5472779369627507,642.9626738777299
166,744,27107,63,584,295,872,232,288,1040,66816,0.8055555555555556,369.82157860243905
167,79,27107,89,561,542,864,453,303,1512,137259,1.495049504950495,544.993577943814
168,340,27107,53,657,516,850,463,193,1312,89359,2.3989637305699483,501.61539051348893
169,409,27107,75,615,495,870,420,255,1350,107100,1.6470588235294117,491.350180624776
170,421,27107,56,641,311,868,255,227,964,57885,1.1233480176211454,341.40005858230313
171,337,27107,58,620,566,850,508,230,1476,116840,2.208695652173913,557.6414618731286
172,1187,27107,64,650,569,879,505,229,1468,115645,2.205240174672489,554.4961677054225
173,577,27107,62,594,549,864,487,270,1514,131490,1.803703703703704,556.8383966645978
174,1719,27107,93,594,538,849,445,255,1400,113475,1.7450980392156863,512.8840024800929
175,638,27107,49,645,562,864,513,219,1464,112347,2.3424657534246576,557.790283171014
176,330,21822,170,369,823,1134,653,765,2836,499545,0.85359477124183,1005.8001789620043
177,1182,21822,198,612,754,1097,556,485,2082,269660,1.1463917525773195,737.8082406696201
178,853,21822,251,395,807,1090,556,695,2502,386420,0.8,890.034269003166
179,569,18346,667,789,670,791,3,2,10,6,1.5,3.605551275463989
180,416,18346,27,732,711,1136,684,404,2176,276336,1.693069306930693,794.400402819636
181,890,18346,24,732,687,1150,663,418,2162,277134,1.5861244019138756,783.7684607076251
182,1659,18346,261,929,671,1152,410,223,1266,91430,1.8385650224215249,466.7215443923711
183,956,18346,198,783,216,787,18,4,44,72,4.5,18.439088914585774
184,1720,18346,38,731,673,1155,635,424,2118,269240,1.4976415094339623,763.545021593357
185,957,23371,32,471,120,532,88,61,298,5368,1.4426229508196722,107.07474025184464
186,752,23371,30,472,119,530,89,58,294,5162,1.5344827586206895,106.23088063270491
187,636,23371,29,471,119,531,90,60,300,5400,1.5,108.16653826391968
188,283,10521,73,847,315,992,242,145,774,35090,1.668965517241379,282.11522468665174
189,1599,10521,100,868,315,994,215,126,682,27090,1.7063492063492065,249.20072231034965
190,886,10521,55,835,318,995,263,160,846,42080,1.64375,307.8457405909655
191,392,10521,66,850,314,999,248,149,794,36952,1.6644295302013423,289.31816396486414
192,1696,10521,67,837,310,994,243,157,800,38151,1.5477707006369428,289.3060663034911
193,279,35719,182,617,628,767,446,150,1192,66900,2.973333333333333,470.5486159792631
194,1046,35719,152,787,540,886,388,99,974,38412,3.919191919191919,400.4310177795921
195,1704,35719,75,623,635,919,560,296,1712,165760,1.891891891891892,633.4161349381621
196,1408,35719,198,646,536,915,338,269,1214,90922,1.2565055762081785,431.97800869951703
197,615,35719,164,600,576,943,412,343,1510,141316,1.2011661807580174,536.0904774382772
198,506,35719,244,640,550,753,306,113,838,34578,2.707964601769912,326.1977927577071
199,886,35719,245,619,554,761,309,142,902,43878,2.176056338028169,340.06617003165724
200,1602,35719,116,578,642,931,526,353,1758,185678,1.4900849858356942,633.4705991598979
201,119,35719,165,732,572,907,407,175,1164,71225,2.3257142857142856,443.02821580572044
202,1654,32159,142,610,539,1037,397,427,1648,169519,0.9297423887587822,583.0420224992363
203,1281,32159,102,555,858,1304,756,749,3010,566244,1.0093457943925233,1064.2072166641233
204,957,32159,117,553,773,1273,656,720,2752,472320,0.9111111111111112,974.0308003343631
205,947,32159,108,475,856,1304,748,829,3154,620092,0.9022919179734621,1116.5773596128483
206,525,32159,161,561,701,1127,540,566,2212,305640,0.9540636042402828,782.276166069247
207,191,32159,129,653,627,1185,498,532,2060,264936,0.9360902255639098,728.7166801988274
208,934,33084,61,639,319,939,258,300,1116,77400,0.86,395.68169025114116
209,1530,33084,80,680,292,903,212,223,870,47276,0.9506726457399104,307.6897788357618
210,1270,33084,153,781,272,853,119,72,382,8568,1.6527777777777777,139.08630414242805
211,272,33084,63,687,338,939,275,252,1054,69300,1.0912698412698412,373.0
212,7,33084,53,642,346,940,293,298,1182,87314,0.9832214765100672,417.9150631408253
213,58,33084,90,683,298,851,208,168,752,34944,1.238095238095238,267.37239947309445
214,318,33084,75,673,309,897,234,224,916,52416,1.0446428571428572,323.9320916488516
215,884,33084,46,639,381,936,335,297,1264,99495,1.127946127946128,447.69855930078666
216,285,33084,62,662,382,877,320,215,1070,68800,1.4883720930232558,385.5191305240247
217,1500,23728,70,657,279,797,209,140,698,29260,1.4928571428571429,251.55715056424057
218,971,23728,36,595,322,811,286,216,1004,61776,1.3240740740740742,358.40200892294115
219,140,23728,51,630,283,802,232,172,808,39904,1.3488372093023255,288.80443209895515
220,355,19125,72,420,142,541,70,121,382,8470,0.5785123966942148,139.7891269019161
221,817,19125,59,442,162,530,103,88,382,9064,1.1704545454545454,135.47324459095236
222,1663,19125,71,421,192,544,121,123,488,14883,0.9837398373983741,172.53985046939155
223,763,19125,76,430,181,540,105,110,430,11550,0.9545454545454546,152.0690632574555
224,1503,19125,87,440,156,528,69,88,314,6072,0.7840909090909091,111.8257573191436
225,429,19125,93,427,154,526,61,99,320,6039,0.6161616161616161,116.2841347734075
226,1508,142,265,295,623,711,358,416,1548,148928,0.8605769230769231,548.8351300709531
227,1134,142,277,344,615,707,338,363,1402,122694,0.931129476584022,495.99697579723204
228,436,142,227,319,669,702,442,383,1650,169286,1.1540469973890342,584.8529729769697
229,1389,12677,63,812,417,1164,354,352,1412,124608,1.005681818181818,499.2193906490412
230,909,12677,157,828,473,1158,316,330,1292,104280,0.9575757575757576,456.89823812310766
231,963,12677,151,871,400,1166,249,295,1088,73455,0.8440677966101695,386.0388581477259
232,306,6497,78,1208,417,1627,339,419,1516,142041,0.8090692124105012,538.9638206781602
233,1389,6497,78,1199,460,1626,382,427,1618,163114,0.8946135831381733,572.9336785353083
234,195,6497,89,1202,375,1616,286,414,1400,118404,0.6908212560386473,503.1818756672382
235,1540,5067,107,600,715,1422,608,822,2860,499776,0.7396593673965937,1022.422613208452
236,478,5067,128,684,628,1337,500,653,2306,326500,0.7656967840735069,822.4408793341926
237,577,5067,158,691,550,1351,392,660,2104,258720,0.5939393939393941,767.6353300884476
238,521,1811,30,500,73,535,43,35,156,1505,1.2285714285714286,55.44366510251645
239,190,1811,31,499,65,524,34,25,118,850,1.36,42.20189569201838
240,1650,1811,43,509,57,528,14,19,66,266,0.7368421052631579,23.600847442411894
241,518,1811,32,500,71,532,39,32,142,1248,1.21875,50.44799302251776
242,338,1811,32,510,68,522,36,12,96,432,3.0,37.94733192202055
243,952,1811,33,501,63,525,30,24,108,720,1.25,38.41874542459709
244,748,1811,35,501,58,516,23,15,76,345,1.5333333333333334,27.459060435491963
245,744,1811,29,497,72,535,43,38,162,1634,1.131578947368421,57.38466694161429
246,1274,1811,31,498,66,535,35,37,144,1295,0.945945945945946,50.93132631298737
247,831,13695,46,883,325,1006,279,123,804,34317,2.268292682926829,304.9098227345259
248,552,13695,59,887,322,1003,263,116,758,30508,2.2672413793103448,287.4456470360962
249,1308,13695,38,890,321,1010,283,120,806,33960,2.3583333333333334,307.3906309567681
250,161,13695,57,885,322,1008,265,123,776,32595,2.154471544715447,292.15406894308353
251,315,13695,58,882,292,1008,234,126,720,29484,1.8571428571428568,265.7668150842012
252,1739,13855,57,1121,62,1126,5,5,20,25,1.0,7.0710678118654755
253,315,13855,57,1122,62,1126,5,4,18,20,1.25,6.4031242374328485
254,552,13855,56,1121,64,1127,8,6,28,48,1.3333333333333333,10.0
255,523,35648,236,948,886,1321,650,373,2046,242450,1.7426273458445043,749.4191083766145
256,1435,35648,179,962,901,1327,722,365,2174,263530,1.9780821917808218,809.017305130119
257,1425,35648,245,911,891,1334,646,423,2138,273258,1.5271867612293144,772.1690229476964
258,952,35648,227,876,329,964,102,88,380,8976,1.1590909090909092,134.7145129523913
259,191,35648,276,1000,521,1180,245,180,850,44100,1.3611111111111112,304.0148022712052
260,891,35648,32,734,902,1332,870,598,2936,520260,1.4548494983277591,1055.700715165051
261,1420,35648,299,915,883,1309,584,394,1956,230096,1.482233502538071,704.479950034066
262,895,35648,278,921,901,1330,623,409,2064,254807,1.5232273838630808,745.2583444685473
263,631,35648,277,906,890,1341,613,435,2096,266655,1.4091954022988509,751.660827767418
264,1147,18159,140,870,272,1066,132,196,656,25872,0.6734693877551021,236.30488780387088
265,246,18159,124,874,294,1064,170,190,720,32300,0.8947368421052632,254.95097567963924
266,480,18159,127,871,287,1005,160,134,588,21440,1.1940298507462686,208.70074269153906
267,245,18159,151,868,301,1058,150,190,680,28500,0.7894736842105263,242.0743687382041
268,254,18159,129,869,284,1062,155,193,696,29915,0.8031088082901554,247.53585598858197
269,1397,18281,123,820,420,987,297,167,928,49599,1.7784431137724552,340.73156589902266
270,374,18281,166,838,448,964,282,126,816,35532,2.238095238095238,308.86890422961
271,161,18281,140,799,476,1022,336,223,1118,74928,1.506726457399103,403.2679010285842
272,1304,18281,165,881,465,1065,300,184,968,55200,1.6304347826086956,351.93181157718607
273,1622,18281,204,878,411,963,207,85,584,17595,2.4352941176470586,223.77220560203628
274,831,10732,42,534,447,831,405,297,1404,120285,1.3636363636363635,502.2290314189334
275,1743,10732,172,527,420,714,248,187,870,46376,1.3262032085561497,310.60103026229643
276,660,10732,44,545,453,845,409,300,1418,122700,1.3633333333333333,507.22874524222306
277,917,10732,135,532,471,858,336,326,1324,109536,1.0306748466257671,468.15809295578777
278,1212,10732,27,526,471,856,444,330,1548,146520,1.3454545454545457,553.2052060492562
279,450,10732,32,528,466,855,434,327,1522,141918,1.3272171253822629,543.4013249891833
280,1136,14941,27,313,146,411,119,98,434,11662,1.2142857142857142,154.1590088188167
281,1016,14941,44,316,140,402,96,86,364,8256,1.1162790697674418,128.8875478857442
282,970,14941,46,313,156,408,110,95,410,10450,1.1578947368421053,145.34441853748632
283,1723,6090,165,529,398,802,233,273,1012,63609,0.8534798534798534,358.91224554199874
284,137,6090,130,520,401,802,271,282,1106,76422,0.9609929078014184,391.10740212887816
285,1389,6090,141,533,390,798,249,265,1028,65985,0.9396226415094341,363.6289317422364
286,490,6090,206,525,389,775,183,250,866,45750,0.732,309.8209160143969
287,529,6090,128,518,404,801,276,283,1118,78108,0.9752650176678446,395.3036807316623
288,90,6090,220,542,392,805,172,263,870,45236,0.6539923954372624,314.2499005568657
289,1562,6090,193,539,400,788,207,249,912,51543,0.8313253012048193,323.80549717384355
290,1451,6090,199,527,402,801,203,274,954,55622,0.7408759124087592,341.0058650522011
291,149,6090,197,529,352,775,155,246,802,38130,0.6300813008130082,290.7593506664919
292,1340,6090,254,650,293,708,39,58,194,2262,0.6724137931034483,69.8927750200262
293,496,13623,45,612,70,645,25,33,116,825,0.7575757575757576,41.400483088968905
294,831,13623,45,611,73,643,28,32,120,896,0.875,42.5205832509386
295,917,13623,45,613,66,645,21,32,106,672,0.65625,38.27531841800928
296,759,33764,93,977,568,1344,475,367,1684,174325,1.2942779291553133,600.2616096336664
297,648,33764,114,1001,561,1355,447,354,1602,158238,1.2627118644067796,570.1973342624464
298,32,33764,86,1023,584,1332,498,309,1614,153882,1.6116504854368932,586.075933646827
299,1751,27634,105,724,854,1295,749,571,2640,427679,1.3117338003502628,941.8290715411157
300,1078,27634,56,757,857,1245,801,488,2578,390888,1.6413934426229508,937.9472266604342
301,979,27634,73,639,875,1309,802,670,2944,537340,1.1970149253731344,1045.037798359466
302,1158,20710,19,577,868,1071,849,494,2686,419406,1.7186234817813766,982.2611669001275
303,600,20710,39,513,861,1065,822,552,2748,453744,1.4891304347826086,990.1454438616581
304,1464,20710,26,496,816,1070,790,574,2728,453460,1.3763066202090593,976.5121607025691
305,1521,20710,96,598,846,1065,750,467,2434,350250,1.6059957173447537,883.5094792926673
306,1623,20710,114,599,436,1069,322,470,1584,151340,0.6851063829787234,569.7227395847914
307,919,20710,73,621,821,1016,748,395,2286,295460,1.8936708860759492,845.8894726854094
308,981,20710,116,626,852,1066,736,440,2352,323840,1.6727272727272726,857.4940233027867
309,157,20710,37,585,446,1064,409,479,1776,195911,0.8538622129436325,629.8587143161552
310,1114,26881,42,692,292,861,250,169,838,42250,1.4792899408284024,301.7631521574495
311,1268,26881,54,695,276,860,222,165,774,36630,1.3454545454545457,276.6026030246281
312,1311,26881,40,691,296,840,256,149,810,38144,1.7181208053691277,296.2043213729334
313,592,23858,206,1155,519,1541,313,386,1398,120818,0.810880829015544,496.9557324349926
314,140,23858,217,1163,539,1498,322,335,1314,107870,0.9611940298507464,464.66009081908464
315,971,23858,182,1177,539,1545,357,368,1450,131376,0.9701086956521741,512.7114198065028
316,433,31086,33,612,116,654,83,42,250,3486,1.9761904761904765,93.02150289046077
317,1671,31086,38,607,116,655,78,48,252,3744,1.625,91.58602513484249
318,1727,31086,39,611,110,655,71,44,230,3124,1.6136363636363635,83.52843827104634
319,649,31086,37,613,112,653,75,40,230,3000,1.875,85.0
320,909,31086,40,608,73,653,33,45,156,1485,0.7333333333333333,55.80322571321482
321,207,31086,102,611,114,617,12,6,36,72,2.0,13.416407864998739
322,902,16681,55,580,119,635,64,55,238,3520,1.1636363636363636,84.38601779915912
323,813,16681,58,572,123,634,65,62,254,4030,1.0483870967741935,89.8276126811795
324,909,16681,42,573,130,636,88,63,302,5544,1.3968253968253967,108.2266141020775
325,1083,22125,128,840,376,1093,248,253,1002,62744,0.9802371541501976,354.27813931994166
326,1258,22125,68,856,392,1148,324,292,1232,94608,1.1095890410958904,436.16510635308737
327,55,22125,63,783,454,1130,391,347,1476,135677,1.1268011527377522,522.7714605829206
328,1483,23546,93,766,330,908,237,142,758,33654,1.6690140845070425,276.2842738919463
329,1327,23546,77,758,324,907,247,149,792,36803,1.657718120805369,288.4614358974177
330,952,23546,94,761,334,885,240,124,728,29760,1.935483870967742,270.1407040784487
331,15,23546,59,747,330,915,271,168,878,45528,1.613095238095238,318.8494942759044
332,957,23546,51,752,336,916,285,164,898,46740,1.7378048780487805,328.8175786055241
333,106,16073,60,539,623,897,563,358,1842,201554,1.5726256983240223,667.1828834734896
