userId,itemId,Xmin,Ymin,Xmax,Ymax,Xmin_true,Ymin_true,Xmax_true,Ymax_true,acc,se_Xmin,se_Ymin,se_Xmax,se_Ymax,Y_xmin,Y_ymin,Y_xmax,Y_ymax,L,H,P,S,L/H,D
1050,8398,53,1019,61,1028,51,1021,59,1027,0.999986155646739,4,4,4,1,1,0,0,0,8.0,9.0,34.0,72.0,0.8888888888888888,12.041594578792296
154,8774,116,959,795,1300,205,792,835,1309,0.9388924407695044,7921,27889,1600,81,1,1,1,1,679.0,341.0,2040.0,231539.0,1.991202346041056,759.8170832509625
866,8774,308,1044,755,1317,205,792,835,1309,0.8686654450370584,10609,63504,6400,64,0,0,1,1,447.0,273.0,1440.0,122031.0,1.6373626373626369,523.7728515301267
311,8774,288,967,296,975,205,792,835,1309,0.28349915793943115,6889,30625,290521,111556,1,1,0,0,8.0,8.0,32.0,64.0,1.0,11.31370849898476
1651,2722,21,324,305,507,86,293,372,463,0.8502753098041238,4225,961,4489,1936,0,0,0,0,284.0,183.0,934.0,51972.0,1.5519125683060109,337.85351855500926
950,2722,65,322,328,473,86,293,372,463,0.9572141484738679,441,841,1936,100,1,0,1,1,263.0,151.0,828.0,39713.0,1.7417218543046358,303.2655601943617
577,2722,22,318,312,507,86,293,372,463,0.8677352383654205,4096,625,3600,1936,0,1,0,0,290.0,189.0,958.0,54810.0,1.5343915343915344,346.15170084805305
1585,29286,42,605,118,691,34,593,148,671,0.9950102739386079,64,144,900,400,1,0,1,1,76.0,86.0,324.0,6536.0,0.8837209302325582,114.76933388322857
379,29286,35,598,120,681,34,593,148,671,0.9969889584112288,1,25,784,100,1,1,1,1,85.0,83.0,336.0,7055.0,1.0240963855421688,118.80235687897779
1165,29286,96,602,97,603,34,593,148,671,0.9631064684452768,3844,81,2601,4624,0,1,0,0,1.0,1.0,4.0,1.0,1.0,1.4142135623730951
857,3135,116,171,552,575,73,284,596,623,0.9095044772681466,1849,12769,1936,2304,0,1,1,1,436.0,404.0,1680.0,176144.0,1.0792079207920793,594.4005383577643
356,3135,101,156,564,592,73,284,596,623,0.908088835142476,784,16384,1024,961,1,0,1,1,463.0,436.0,1798.0,201868.0,1.061926605504587,635.9756284638587
903,3135,105,173,476,478,73,284,596,623,0.7659631645120113,1024,12321,14400,21025,1,1,0,0,371.0,305.0,1352.0,113155.0,1.2163934426229508,480.2770034053265
1496,30215,63,368,235,548,14,316,325,556,0.9104551643156844,2401,2704,8100,64,0,0,1,1,172.0,180.0,704.0,30960.0,0.9555555555555556,248.96586111352696
1508,30215,38,326,220,554,14,316,325,556,0.9210096991721372,576,100,11025,4,1,1,1,1,182.0,228.0,820.0,41496.0,0.7982456140350878,291.7327544174633
590,30215,61,357,197,479,14,316,325,556,0.8231710506114915,2209,1681,16384,5929,0,0,0,0,136.0,122.0,516.0,16592.0,1.1147540983606556,182.70194306574848
491,30215,50,330,239,554,14,316,325,556,0.9399930153813448,1296,196,7396,4,1,1,1,1,189.0,224.0,826.0,42336.0,0.84375,293.0818998164165
483,30215,52,327,218,556,14,316,325,556,0.9121760123901062,1444,121,11449,0,0,1,0,1,166.0,229.0,790.0,38014.0,0.7248908296943232,282.83740912404073
1453,30215,49,361,228,545,14,316,325,556,0.9137551435642812,1225,2025,9409,121,1,0,1,1,179.0,184.0,726.0,32936.0,0.9728260869565216,256.7041098229633
147,30215,47,320,239,548,14,316,325,556,0.9421997499708974,1089,16,7396,64,1,1,1,1,192.0,228.0,840.0,43776.0,0.8421052631578947,298.0738163609813
145,30215,61,345,179,509,14,316,325,556,0.8206606369499824,2209,841,21316,2209,0,1,0,0,118.0,164.0,564.0,19352.0,0.7195121951219512,202.0396000787964
904,30215,36,339,227,539,14,316,325,556,0.9264016898053248,484,529,9604,289,1,1,1,1,191.0,200.0,782.0,38200.0,0.955,276.55198426335687
1041,33357,56,899,220,1060,48,897,263,1058,0.9973010451600756,64,4,1849,4,0,1,0,1,164.0,161.0,650.0,26404.0,1.0186335403726707,229.81949438635533
1411,33357,53,904,258,1069,48,897,263,1058,0.9996909057445168,25,49,25,121,1,1,1,0,205.0,165.0,740.0,33825.0,1.2424242424242424,263.1539473388153
937,33357,48,911,212,1064,48,897,263,1058,0.9960197089737088,0,196,2601,36,1,0,0,1,164.0,153.0,634.0,25092.0,1.0718954248366013,224.28776159211185
660,10766,6,255,404,725,3,179,682,589,0.6788892568672535,9,5776,77284,18496,1,0,0,0,398.0,470.0,1736.0,187060.0,0.8468085106382979,615.8766110187981
917,10766,94,214,448,689,3,179,682,589,0.7652111848912123,8281,1225,54756,10000,0,1,1,1,354.0,475.0,1658.0,168150.0,0.7452631578947368,592.4027346324458
1743,10766,60,172,479,635,3,179,682,589,0.8525954199076646,3249,49,41209,2116,1,1,1,1,419.0,463.0,1764.0,193997.0,0.9049676025917928,624.4437524709491
831,11109,47,609,920,1102,141,561,732,1162,0.9065363355764314,8836,2304,35344,3600,0,1,1,1,873.0,493.0,2732.0,430389.0,1.77079107505071,1002.585657188452
820,11109,99,718,924,1031,141,561,732,1162,0.8498915773719549,1764,24649,36864,17161,1,0,1,0,825.0,313.0,2276.0,258225.0,2.635782747603834,882.3797368480307
1212,11109,31,603,546,1084,141,561,732,1162,0.8982133593099767,12100,1764,34596,6084,0,1,1,1,515.0,481.0,1992.0,247715.0,1.0706860706860706,704.6885837020493
917,11109,79,687,935,1048,141,561,732,1162,0.8620457353144256,3844,15876,41209,12996,1,0,0,0,856.0,361.0,2434.0,309016.0,2.3711911357340716,929.0086113702067
1576,11109,76,667,924,1124,141,561,732,1162,0.8996596163966365,4225,11236,36864,1444,1,0,1,1,848.0,457.0,2610.0,387536.0,1.8555798687089715,963.3031713847928
1405,11109,75,656,919,1043,141,561,732,1162,0.8833458364591148,4356,9025,34969,14161,1,1,1,0,844.0,387.0,2462.0,326628.0,2.1808785529715764,928.4960958453192
1743,11109,58,593,481,1082,141,561,732,1162,0.8557213930348259,6889,1024,63001,6400,0,1,0,1,423.0,489.0,1824.0,206847.0,0.8650306748466258,646.5678618675691
1003,13110,43,469,515,835,13,353,873,993,0.7330932270916335,900,13456,128164,24964,1,1,0,0,472.0,366.0,1676.0,172752.0,1.289617486338798,597.2771550963589
1282,13110,46,435,652,922,13,353,873,993,0.9016812749003984,1089,6724,48841,5041,1,1,1,1,606.0,487.0,2186.0,295122.0,1.2443531827515402,777.4348847331203
1182,13110,70,516,493,878,13,353,873,993,0.7012860557768924,3249,26569,144400,13225,0,0,0,1,423.0,362.0,1570.0,153126.0,1.1685082872928176,556.7521890392528
1602,813,283,1042,624,1432,41,1006,782,1701,0.8879983639930256,58564,1296,24964,72361,0,0,0,0,341.0,390.0,1462.0,132990.0,0.8743589743589744,518.0550163833954
886,813,271,1010,679,1421,41,1006,782,1701,0.8988718249814559,52900,16,10609,78400,0,1,1,0,408.0,411.0,1638.0,167688.0,0.9927007299270072,579.1243389808443
1168,813,182,1028,740,1457,41,1006,782,1701,0.941809882593698,19881,484,1764,59536,1,1,1,1,558.0,429.0,1974.0,239382.0,1.3006993006993006,703.8501260921959
506,35799,52,833,857,1281,221,840,875,1389,0.9407744127023259,28561,49,324,11664,1,1,1,0,805.0,448.0,2506.0,360640.0,1.796875,921.264891331478
886,35799,44,787,866,1286,221,840,875,1389,0.9346035610773898,31329,2809,81,10609,0,0,1,0,822.0,499.0,2642.0,410178.0,1.6472945891783568,961.6054284372568
615,35799,47,859,842,1296,221,840,875,1389,0.9410997318305436,30276,361,1089,8649,0,1,0,1,795.0,437.0,2464.0,347415.0,1.8192219679633868,907.1901674952173
501,25988,45,855,126,907,44,859,134,903,0.9998465874404142,1,16,64,16,1,1,1,1,81.0,52.0,266.0,4212.0,1.5576923076923077,96.25487000666513
119,25988,47,863,115,898,44,859,134,903,0.9993499735877346,9,16,361,25,1,1,0,1,68.0,35.0,206.0,2380.0,1.9428571428571428,76.47875521999558
1218,25988,63,855,125,913,44,859,134,903,0.9991174823891872,361,16,81,100,1,1,1,0,62.0,58.0,240.0,3596.0,1.0689655172413792,84.8999411071645
1046,25988,85,869,104,891,44,859,134,903,0.9955320568986624,1681,100,900,144,0,0,0,0,19.0,22.0,82.0,418.0,0.8636363636363636,29.068883707497267
507,25988,63,858,124,910,44,859,134,903,0.9991918163098112,361,1,100,49,1,1,1,1,61.0,52.0,226.0,3172.0,1.1730769230769231,80.15609770940699
1470,25988,65,863,118,910,44,859,134,903,0.9987948415422232,441,16,256,49,1,1,1,1,53.0,47.0,200.0,2491.0,1.127659574468085,70.83784299369934
1329,20671,44,724,135,795,54,727,151,807,0.9988675418928848,100,9,256,144,1,1,1,1,91.0,71.0,324.0,6461.0,1.2816901408450705,115.42096863222038
120,20671,46,733,129,792,54,727,151,807,0.9982000813189466,64,36,484,225,1,0,0,0,83.0,59.0,284.0,4897.0,1.4067796610169492,101.83319694480774
1182,20671,47,732,118,791,54,727,151,807,0.9968429114852722,49,25,1089,256,1,0,0,0,71.0,59.0,260.0,4189.0,1.2033898305084745,92.31467922275415
70,20671,39,724,146,795,54,727,151,807,0.9991033779623428,225,9,25,144,0,1,1,1,107.0,71.0,356.0,7597.0,1.5070422535211268,128.4133949399361
850,20671,45,727,146,796,54,727,151,807,0.9994949548323868,81,0,25,121,1,1,1,1,101.0,69.0,340.0,6969.0,1.463768115942029,122.31925441237776
600,20754,34,291,325,453,55,281,259,421,0.9132377937987224,441,100,4356,1024,1,1,1,0,291.0,162.0,906.0,47142.0,1.7962962962962965,333.0540496676178
1689,20754,40,352,107,417,55,281,259,421,0.5840513451732021,225,5041,23104,16,1,0,0,1,67.0,65.0,264.0,4355.0,1.0307692307692309,93.34880824091972
57,20754,37,312,320,453,55,281,259,421,0.9116405837875856,324,961,3721,1024,1,1,1,0,283.0,141.0,848.0,39903.0,2.0070921985815597,316.1803282938393
1156,20754,36,361,109,415,55,281,259,421,0.5707021862727859,361,6400,22500,36,1,0,0,1,73.0,54.0,254.0,3942.0,1.351851851851852,90.80198235721508
919,20754,18,305,214,426,55,281,259,421,0.9414600550964188,1369,576,2025,25,0,1,1,1,196.0,121.0,634.0,23716.0,1.6198347107438016,230.34105148670312
1158,20754,15,283,327,444,55,281,259,421,0.9009876326123908,1600,4,4624,529,0,1,1,0,312.0,161.0,946.0,50232.0,1.937888198757764,351.0911562543266
91,22331,107,807,336,930,99,809,233,943,0.9792244510167492,64,4,10609,169,1,1,0,1,229.0,123.0,704.0,28167.0,1.8617886178861789,259.94230129011316
422,22331,100,799,247,928,99,809,233,943,0.9990001072681858,1,100,196,225,1,1,1,1,147.0,129.0,552.0,18963.0,1.1395348837209305,195.57607215607945
1241,22331,100,812,218,934,99,809,233,943,0.9993947009516221,1,9,225,81,1,1,1,1,118.0,122.0,480.0,14396.0,0.9672131147540984,169.729196074217
298,22331,118,802,204,901,99,809,233,943,0.99422475749728,361,49,841,1764,0,1,1,0,86.0,99.0,370.0,8514.0,0.8686868686868687,131.13733259449805
488,22331,71,787,333,937,99,809,233,943,0.9783471504972646,784,484,10000,36,0,0,0,1,262.0,150.0,824.0,39300.0,1.7466666666666666,301.9006459085505
1562,22331,95,806,325,938,99,809,233,943,0.9836914047535128,16,9,8464,25,1,1,0,1,230.0,132.0,724.0,30360.0,1.7424242424242424,265.1867266663246
137,5611,49,801,693,1238,41,833,660,1141,0.9820133595748473,64,1024,1089,9409,1,1,1,1,644.0,437.0,2162.0,281428.0,1.4736842105263157,778.270518521677
1073,5611,81,817,687,1258,41,833,660,1141,0.9747354922942396,1600,256,729,13689,1,1,1,0,606.0,441.0,2094.0,267246.0,1.3741496598639455,749.4778182174573
1065,5611,197,943,386,1115,41,833,660,1141,0.8258341777993223,24336,12100,75076,676,0,0,0,1,189.0,172.0,722.0,32508.0,1.0988372093023255,255.54842985234717
528,5611,64,807,169,1002,41,833,660,1141,0.5938692351369781,529,676,241081,19321,1,1,0,0,105.0,195.0,600.0,20475.0,0.5384615384615384,221.472345903501
1508,5611,126,808,307,1202,41,833,660,1141,0.7885878911533472,7225,625,124609,3721,1,1,0,1,181.0,394.0,1150.0,71314.0,0.4593908629441624,433.5862082677446
149,5611,115,868,691,1253,41,833,660,1141,0.968631274259396,5476,1225,961,12544,1,1,1,0,576.0,385.0,1922.0,221760.0,1.4961038961038962,692.8210447150116
809,5611,97,843,666,1250,41,833,660,1141,0.9764757843636852,3136,100,36,11881,1,1,1,0,569.0,407.0,1952.0,231583.0,1.3980343980343979,699.5784444935392
819,5611,86,811,690,1254,41,833,660,1141,0.9748845271190986,2025,484,900,12769,1,1,1,0,604.0,443.0,2094.0,267572.0,1.363431151241535,749.042722413081
967,5611,143,818,655,1253,41,833,660,1141,0.963986355551295,10404,225,25,12544,1,1,1,0,512.0,435.0,1894.0,222720.0,1.1770114942528735,671.8400107168372
969,5611,422,990,547,1146,41,833,660,1141,0.7165171337653532,145161,24649,12769,25,0,0,1,1,125.0,156.0,562.0,19500.0,0.8012820512820513,199.90247622278218
218,11687,68,697,486,1045,108,687,457,1009,0.9911289954344498,1600,100,841,1296,0,1,1,1,418.0,348.0,1532.0,145464.0,1.2011494252873562,543.9007262359556
1411,11687,106,716,437,1048,108,687,457,1009,0.9936051085149044,4,841,400,1521,1,0,1,0,331.0,332.0,1326.0,109892.0,0.9969879518072288,468.8123291894103
1469,11687,120,717,394,1049,108,687,457,1009,0.9847109843127486,144,900,3969,1600,1,0,0,0,274.0,332.0,1212.0,90968.0,0.8253012048192772,430.4648650006177
1092,4220,128,542,447,756,156,529,361,703,0.9319454673259868,784,169,7396,2809,0,1,0,1,319.0,214.0,1066.0,68266.0,1.4906542056074767,384.1314879048578
1255,4220,165,546,435,801,156,529,361,703,0.9057678320654684,81,289,5476,9604,1,1,0,0,270.0,255.0,1050.0,68850.0,1.0588235294117647,371.3825520941984
152,4220,129,565,443,742,156,529,361,703,0.9373615297936804,729,1296,6724,1521,0,0,0,1,314.0,177.0,982.0,55578.0,1.7740112994350283,360.4511062543712
1752,4220,192,570,320,768,156,529,361,703,0.9458210778147286,1296,1681,1681,4225,0,0,1,1,128.0,198.0,652.0,25344.0,0.6464646464646465,235.77107541002565
1467,4220,162,585,435,781,156,529,361,703,0.9101470357274098,36,3136,5476,6084,1,0,0,0,273.0,196.0,938.0,53508.0,1.3928571428571428,336.0729087564185
441,4220,178,554,439,762,156,529,361,703,0.9348974653376576,484,625,6084,3481,1,1,0,1,261.0,208.0,938.0,54288.0,1.2548076923076923,333.74391380218464
1400,229,107,363,566,755,16,407,332,787,0.7807823767592184,8281,1936,54756,1024,0,0,0,1,459.0,392.0,1702.0,179928.0,1.1709183673469388,603.6099734099828
831,229,40,395,596,893,16,407,332,787,0.7287822571805339,576,144,69696,11236,1,1,0,0,556.0,498.0,2108.0,276888.0,1.1164658634538152,746.4181133922192
1243,229,40,397,518,879,16,407,332,787,0.8547251849317571,576,100,34596,8464,1,1,1,0,478.0,482.0,1920.0,230396.0,0.991701244813278,678.8284024700204
1287,31168,120,753,205,903,82,767,189,887,0.9956179714078744,1444,196,256,256,1,1,1,1,85.0,150.0,470.0,12750.0,0.5666666666666667,172.4093964956667
1142,31168,165,757,200,789,82,767,189,887,0.9659659731000052,6889,100,121,9604,0,1,1,0,35.0,32.0,134.0,1120.0,1.09375,47.4236228055175
433,31168,120,755,215,907,82,767,189,887,0.9945754069844692,1444,144,676,400,1,1,0,1,95.0,152.0,494.0,14440.0,0.625,179.24564150907548
813,31168,106,754,185,901,82,767,189,887,0.9980513004820332,576,169,16,196,1,1,1,1,79.0,147.0,452.0,11613.0,0.5374149659863946,166.88319268278636
207,31168,144,748,212,809,82,767,189,887,0.9779717540382826,3844,361,529,6084,0,0,1,0,68.0,61.0,258.0,4148.0,1.1147540983606556,91.35097153287424
492,31168,111,752,246,840,82,767,189,887,0.9867154486361396,841,225,3249,2209,1,0,0,1,135.0,88.0,446.0,11880.0,1.5340909090909092,161.14899937635357
909,31168,146,748,172,836,82,767,189,887,0.9850396077758607,4096,361,289,2601,0,0,1,0,26.0,88.0,228.0,2288.0,0.2954545454545455,91.76055797563568
1508,31168,93,746,198,907,82,767,189,887,0.9978761822390396,121,441,81,400,1,0,1,1,105.0,161.0,532.0,16905.0,0.6521739130434783,192.21342304844373
535,31168,137,767,203,896,82,767,189,887,0.9932762739724912,3025,0,196,81,0,1,1,1,66.0,129.0,390.0,8514.0,0.5116279069767442,144.90341610879992
1263,3775,67,576,276,775,112,578,217,700,0.9532348682670128,2025,4,3481,5625,0,1,0,0,209.0,199.0,816.0,41591.0,1.050251256281407,288.5862089566998
562,3775,88,578,284,782,112,578,217,700,0.950488177997289,576,0,4489,6724,1,1,0,0,196.0,204.0,800.0,39984.0,0.9607843137254902,282.8992753613908
1045,3775,94,574,244,755,112,578,217,700,0.9828058869048182,324,16,729,3025,1,0,1,1,150.0,181.0,662.0,27150.0,0.8287292817679558,235.07658326596462
1302,20558,176,1112,360,1154,95,1060,379,1210,0.9851255620747288,6561,2704,361,3136,0,0,1,0,184.0,42.0,452.0,7728.0,4.380952380952381,188.73261509341728
1623,20558,181,1103,340,1184,95,1060,379,1210,0.9866640558892844,7396,1849,1521,676,0,0,0,1,159.0,81.0,480.0,12879.0,1.9629629629629632,178.4432682955566
919,20558,165,1093,347,1202,95,1060,379,1210,0.9917515752078716,4900,1089,1024,64,1,1,0,1,182.0,109.0,582.0,19838.0,1.6697247706422018,212.143819141638
1156,20558,166,1105,333,1169,95,1060,379,1210,0.987338895221578,5041,2025,2116,1681,1,0,0,0,167.0,64.0,462.0,10688.0,2.609375,178.84350701101786
1158,20558,159,1087,378,1202,95,1060,379,1210,0.994300579732442,4096,729,1,64,1,1,1,1,219.0,115.0,668.0,25185.0,1.9043478260869569,247.35804009572846
160,20558,172,1089,378,1185,95,1060,379,1210,0.9913797725360206,5929,841,1,625,0,1,1,1,206.0,96.0,604.0,19776.0,2.145833333333333,227.27076362788063
1521,20558,140,1087,379,1187,95,1060,379,1210,0.9961735793991016,2025,729,0,529,1,1,1,1,239.0,100.0,678.0,23900.0,2.39,259.0772085691831
49,20558,157,1064,377,1213,95,1060,379,1210,0.99548591928502,3844,16,4,9,1,1,1,1,220.0,149.0,738.0,32780.0,1.4765100671140938,265.7084868798887
981,20558,177,1101,326,1176,95,1060,379,1210,0.9855824481166272,6724,1681,2809,1156,0,0,0,0,149.0,75.0,448.0,11175.0,1.9866666666666664,166.8112706024386
1133,6933,102,861,922,1668,64,756,1019,1489,0.949239233377706,1444,11025,9409,32041,1,1,1,1,820.0,807.0,3254.0,661740.0,1.0161090458488231,1150.499456757803
754,6933,103,795,464,1169,64,756,1019,1489,0.6107512770448251,1521,1521,308025,102400,1,1,0,0,361.0,374.0,1470.0,135014.0,0.96524064171123,519.8047710438989
421,6933,236,822,553,1663,64,756,1019,1489,0.7351089889269434,29584,4356,217156,30276,0,1,0,1,317.0,841.0,2316.0,266597.0,0.3769322235434007,898.7602572432762
1433,6933,222,799,553,1663,64,756,1019,1489,0.7418185344251369,24964,1849,217156,30276,0,1,0,1,331.0,864.0,2390.0,285984.0,0.3831018518518519,925.2334840460544
1281,6933,110,780,526,1675,64,756,1019,1489,0.7360833651849243,2116,576,243049,34596,1,1,0,1,416.0,895.0,2622.0,372320.0,0.46480446927374297,986.955419459258
577,6933,83,759,625,1699,64,756,1019,1489,0.8119915121001526,361,9,155236,44100,1,1,1,1,542.0,940.0,2964.0,509480.0,0.5765957446808511,1085.0640534088302
947,6933,115,777,781,1699,64,756,1019,1489,0.9022931262697488,2601,441,56644,44100,1,1,1,1,666.0,922.0,3176.0,614052.0,0.7223427331887202,1137.3829610118132
952,6933,308,1186,317,1194,64,756,1019,1489,0.2240152209810039,59536,184900,492804,87025,0,0,0,0,9.0,8.0,34.0,72.0,1.125,12.041594578792296
242,25324,64,1035,101,1090,50,1033,106,1094,0.9997527288957062,196,4,25,16,1,1,1,1,37.0,55.0,184.0,2035.0,0.6727272727272727,66.2872536767062
952,25324,82,1040,97,1082,50,1033,106,1094,0.9986682245088244,1024,49,81,144,0,0,0,1,15.0,42.0,114.0,630.0,0.35714285714285715,44.598206241955516
12,25324,68,1040,98,1093,50,1033,106,1094,0.9995506027233168,324,49,64,1,1,0,0,1,30.0,53.0,166.0,1590.0,0.5660377358490566,60.901559914340446
639,25324,78,1039,95,1056,50,1033,106,1094,0.9975529394865532,784,36,121,1444,0,0,0,0,17.0,17.0,68.0,289.0,1.0,24.041630560342607
189,25324,60,1035,114,1094,50,1033,106,1094,0.9998276284418202,100,4,64,0,1,1,0,1,54.0,59.0,226.0,3186.0,0.9152542372881356,79.98124780221924
1554,25324,66,1035,111,1093,50,1033,106,1094,0.9997065579426224,256,4,25,1,1,1,1,1,45.0,58.0,206.0,2610.0,0.7758620689655172,73.40980860893181
941,25324,81,1036,109,1094,50,1033,106,1094,0.9989955252651302,961,9,9,0,0,1,1,1,28.0,58.0,172.0,1624.0,0.4827586206896552,64.40496875241847
291,25324,80,1033,109,1077,50,1033,106,1094,0.9987708266267886,900,0,9,289,0,1,1,0,29.0,44.0,146.0,1276.0,0.6590909090909091,52.69724850502159
957,25324,66,1035,112,1094,50,1033,106,1094,0.999696297730826,256,4,36,0,1,1,1,1,46.0,59.0,210.0,2714.0,0.7796610169491526,74.81310045707234
530,24752,199,1094,577,1555,34,1054,712,1709,0.9515774567558724,27225,1600,18225,23716,0,1,1,1,378.0,461.0,1678.0,174258.0,0.8199566160520607,596.158535961702
87,24752,169,1188,610,1546,34,1054,712,1709,0.9499434371240296,18225,17956,10404,26569,1,0,1,1,441.0,358.0,1598.0,157878.0,1.2318435754189945,568.0184856146849
134,24752,200,1116,562,1551,34,1054,712,1709,0.9460362963795482,27556,3844,22500,24964,0,1,1,1,362.0,435.0,1594.0,157470.0,0.8321839080459771,565.9231396576747
258,24752,202,1136,580,1538,34,1054,712,1709,0.9441552578670124,28224,6724,17424,29241,0,1,1,1,378.0,402.0,1560.0,151956.0,0.9402985074626866,551.8043131400841
963,24752,192,1207,565,1487,34,1054,712,1709,0.9183907096267396,24964,23409,21609,49284,1,0,1,0,373.0,280.0,1306.0,104440.0,1.3321428571428569,466.40004288164477
1732,24752,282,1148,487,1446,34,1054,712,1709,0.8698983715742168,61504,8836,50625,69169,0,1,0,0,205.0,298.0,1006.0,61090.0,0.6879194630872483,361.70291677010295
592,24752,62,1077,672,1551,34,1054,712,1709,0.9809248051604366,784,529,1600,24964,1,1,1,1,610.0,474.0,2168.0,289140.0,1.2869198312236287,772.512783065756
805,24752,185,1224,388,1419,34,1054,712,1709,0.8352452492059558,22801,28900,104976,84100,1,0,0,0,203.0,195.0,796.0,39585.0,1.0410256410256409,281.48534597737057
931,4927,586,1264,588,1266,92,861,601,1278,0.4497425643994838,244036,162409,169,144,0,0,1,1,2.0,2.0,8.0,4.0,1.0,2.8284271247461903
221,4927,45,862,608,1254,92,861,601,1278,0.9961648453627772,2209,1,49,576,1,1,1,1,563.0,392.0,1910.0,220696.0,1.4362244897959184,686.0269673999702
1635,4927,140,863,594,1205,92,861,601,1278,0.989602469650196,2304,4,49,5329,1,1,1,0,454.0,342.0,1592.0,155268.0,1.3274853801169588,568.4012667121705
505,4927,117,961,556,1230,92,861,601,1278,0.9797704047812948,625,10000,2025,2304,1,1,1,1,439.0,269.0,1416.0,118091.0,1.6319702602230484,514.8611463297653
401,4927,52,871,594,1240,92,861,601,1278,0.995680547175784,1600,100,49,1444,1,1,1,1,542.0,369.0,1822.0,199998.0,1.4688346883468837,655.6866629724902
1601,4927,184,866,472,1158,92,861,601,1278,0.946524281195973,8464,25,16641,14400,1,1,0,0,288.0,292.0,1160.0,84096.0,0.9863013698630136,410.1316861692108
1116,4927,73,859,608,1267,92,861,601,1278,0.9992762582959741,361,4,49,121,1,1,1,1,535.0,408.0,1886.0,218280.0,1.3112745098039216,672.821670281212
525,23173,277,503,577,804,132,519,657,713,0.8251664193317461,21025,256,6400,8281,0,1,0,1,300.0,301.0,1202.0,90300.0,0.9966777408637874,424.97176376790026
636,23173,204,528,633,839,132,519,657,713,0.8944201971143855,5184,81,576,15876,1,1,1,0,429.0,311.0,1480.0,133419.0,1.3794212218649518,529.8697953271162
1182,23173,294,590,575,837,132,519,657,713,0.7404624129921935,26244,5041,6724,15376,0,0,0,0,281.0,247.0,1056.0,69407.0,1.137651821862348,374.1256473432422
1728,18756,82,739,679,1143,91,718,670,1243,0.9840660141592016,81,441,81,10000,1,1,1,1,597.0,404.0,2002.0,241188.0,1.4777227722772277,720.850192481073
699,18756,116,781,598,1106,91,718,670,1243,0.9571001137605138,625,3969,5184,18769,0,0,0,0,482.0,325.0,1614.0,156650.0,1.4830769230769232,581.3338111618831
297,18756,64,726,703,1165,91,718,670,1243,0.9880288473820804,729,64,1089,6084,0,1,1,1,639.0,439.0,2156.0,280521.0,1.4555808656036446,775.2689855785537
886,28677,53,508,329,655,57,509,397,675,0.9753861027426356,16,1,4624,400,1,1,0,1,276.0,147.0,846.0,40572.0,1.877551020408164,312.70593214712125
61,28677,76,507,345,652,57,509,397,675,0.9824318979702444,361,4,2704,529,0,0,0,1,269.0,145.0,828.0,39005.0,1.855172413793104,305.59123024065985
